id;title;authors;venue
1;Moldova;synthesize;Tasty Plastic Chips hacking
2;Integration;El Salvador Awesome;envisioneer Music overriding
3;Throughway;Iceland Krona;purple copying Tennessee
4;digital;scalable;Health Cloned Spur
5;Steel;Chips;distributed application multimedia
6;Motorway;Central Unbranded Wooden Table Rial Omani;Kip Producer South Dakota
7;engage;Shoes;vortals Engineer
8;3rd generation program artificial intelligence;navigate Florida markets;Customer
9;Mountain Associate EXE;Officer;Product Human Dynamic
10;PCI Auto Loan Account;Sleek deposit;multi-byte Assurance
